Uniprot	Gene Symbol
UniProtKB:P16104	H2AX
UniProtKB:A8MTY7	KRTAP9-7
UniProtKB:P48681	NES
UniProtKB:P48668	KRT6C
UniProtKB:P48664	SLC1A6
UniProtKB:A0A286YF77	SCYGR6
UniProtKB:P48643	CCT5
UniProtKB:A8MU46	SMTNL1
UniProtKB:Q8TCT7	SPPL2B
UniProtKB:P31689	DNAJA1
UniProtKB:A8MTJ3	GNAT3
UniProtKB:P11182	DBT
UniProtKB:P38398	BRCA1
UniProtKB:P11171	EPB41
UniProtKB:P11166	SLC2A1
UniProtKB:P11142	HSPA8
UniProtKB:P11137	MAP2
UniProtKB:Q15124	PGM5
UniProtKB:A8MTA8	CIMIP2B
UniProtKB:Q6DT37	CDC42BPG
UniProtKB:Q15172	PPP2R5A
UniProtKB:O94830	DDHD2
UniProtKB:O94851	MICAL2
UniProtKB:O94875	SORBS2
UniProtKB:O94887	FARP2
UniProtKB:P28074	PSMB5
UniProtKB:P28070	PSMB4
UniProtKB:P63096	GNAI1
UniProtKB:A8MT33	SYCE1L
UniProtKB:Q53HL2	CDCA8
UniProtKB:Q8IXM7	CIMAP1C
UniProtKB:Q92730	RND1
UniProtKB:Q99467	CD180
UniProtKB:Q2V2M9	FHOD3
UniProtKB:Q92747	ARPC1A
UniProtKB:Q53HC0	CCDC92
UniProtKB:P11055	MYH3
UniProtKB:O00401	WASL
UniProtKB:B0I1T2	MYO1G
UniProtKB:Q53H96	PYCR3
UniProtKB:O94927	HAUS5
UniProtKB:O94929	ABLIM3
UniProtKB:Q96MC2	DRC1
UniProtKB:P11474	ESRRA
UniProtKB:P31944	CASP14
UniProtKB:Q5S007	LRRK2
ComplexPortal:CPX-4143	asc-casp1-mefv_human
UniProtKB:P11413	G6PD
UniProtKB:A1X283	SH3PXD2B
UniProtKB:Q6PML9	SLC30A9
UniProtKB:P36404	ARL2
UniProtKB:Q6IQ19	CCSAP
UniProtKB:Q6IQ55	TTBK2
UniProtKB:Q6J272	CIMIP2A
UniProtKB:Q8IV36	HID1
UniProtKB:P11388	TOP2A
UniProtKB:P26232	CTNNA2
UniProtKB:Q4AC94	C2CD3
UniProtKB:P18074	ERCC2
UniProtKB:A8MVA2	KRTAP9-6
UniProtKB:O00139	KIF2A
UniProtKB:O76095	JTB
UniProtKB:O76071	CIAO1
UniProtKB:O76070	SNCG
UniProtKB:P21583	KITLG
UniProtKB:Q92817	EVPL
UniProtKB:Q3SXM5	HSDL1
UniProtKB:Q8TES7	FBF1
UniProtKB:Q92830	KAT2A
UniProtKB:Q53GG5	PDLIM3
UniProtKB:Q8IYR0	CFAP206
UniProtKB:P51957	NEK4
UniProtKB:P51955	NEK2
UniProtKB:Q7L2K0	TEDC2
UniProtKB:Q3SY84	KRT71
UniProtKB:P51911	CNN1
UniProtKB:O00501	CLDN5
UniProtKB:Q3SYF9	KRTAP19-7
UniProtKB:Q99615	DNAJC7
UniProtKB:Q71F23	CENPU
UniProtKB:Q8IZP0	ABI1
UniProtKB:Q99689	FEZ1
UniProtKB:P58546	MTPN
UniProtKB:P51808	DYNLT3
UniProtKB:P31323	PRKAR2B
UniProtKB:Q15417	CNN3
UniProtKB:Q53EZ4	CEP55
UniProtKB:Q15468	STIL
UniProtKB:P63313	TMSB10
UniProtKB:Q6UXV0	GFRAL
UniProtKB:O96020	CCNE2
UniProtKB:O96015	DNAL4
UniProtKB:O96006	ZBED1
UniProtKB:Q8WUP2	FBLIM1
UniProtKB:P16591	FER
UniProtKB:A8MQ27	NEURL1B
UniProtKB:P04921	GYPC
UniProtKB:Q86XH1	IQCA1
UniProtKB:Q6NXT6	TAPT1
UniProtKB:Q8WXH0	SYNE2
UniProtKB:O60879	DIAPH2
UniProtKB:Q6NY19	KANK3
UniProtKB:P41219	PRPH
UniProtKB:Q9HD67	MYO10
UniProtKB:P41208	CETN2
UniProtKB:Q13939	CCIN
UniProtKB:Q9HCS5	EPB41L4A
UniProtKB:Q9HD42	CHMP1A
UniProtKB:Q9HD36	BCL2L10
UniProtKB:P04637	TP53
UniProtKB:Q9HD15	SRA1
UniProtKB:Q86X95	CIR1
UniProtKB:Q9HCM4	EPB41L5
UniProtKB:Q9HCM1	RESF1
UniProtKB:Q86WT6	TRIM69
UniProtKB:Q9HCH0	NCKAP5L
UniProtKB:Q86WN1	FCHSD1
UniProtKB:Q9HCD5	NCOA5
UniProtKB:Q9HCC8	GDPD2
UniProtKB:P58107	EPPK1
UniProtKB:A6PVC2	TTLL8
UniProtKB:Q86WI3	NLRC5
UniProtKB:Q86WH2	RASSF3
UniProtKB:Q8WYJ6	SEPTIN1
UniProtKB:P68371	TUBB4B
UniProtKB:P68366	TUBA4A
UniProtKB:Q13885	TUBB2A
UniProtKB:Q13884	SNTB1
UniProtKB:Q9HC98	NEK6
UniProtKB:Q9HBA0	TRPV4
UniProtKB:Q86VH2	KIF27
UniProtKB:Q502W7	CCDC38
UniProtKB:P61586	RHOA
UniProtKB:Q86VE9	SERINC5
UniProtKB:Q13796	SHROOM2
UniProtKB:Q6DKK2	TTC19
UniProtKB:Q9HB96	FANCE
UniProtKB:P24941	CDK2
UniProtKB:P41002	CCNF
UniProtKB:Q9HAQ2	KIF9
UniProtKB:Q13702	RAPSN
UniProtKB:Q86UY6	NAA40
UniProtKB:P04406	GAPDH
UniProtKB:Q86UT8	CENATAC
UniProtKB:Q86UR5	RIMS1
UniProtKB:Q86UN6	AKAP14
UniProtKB:Q9HAE3	CLXN
UniProtKB:P78406	RAE1
