,source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
1,thal_proj,pfc_rgc,TIMP2,ITGB1,0.000932211,196.4,0.260799214,158,2.378948477,118,2.089555395,66,0.949262071,61,0,579
2,thal_proj,pfc_rgc,PDAP1,PDGFRB,0.003350672,259.6,0.268873585,144,2.153168367,151,1.329049645,205,0.929320411,219,0,579
3,thal_proj,pfc_rgc,INHBA,ENG,0.006532554,263,0.810755066,18,4.598221011,23,1.728174529,117,0.89132565,578,0,579
4,thal_proj,pfc_rgc,GNAI2,EDNRA,0.010451747,288.4,0.309090011,115,3.354502625,65,1.395012383,188,0.900476843,495,0,579
5,thal_proj,pfc_rgc,CALM3,MYLK2,0.010451747,323.4,0.298658592,122,2.312819762,129,1.160502143,283,0.899292585,504,0,579
6,thal_proj,pfc_rgc,APP,TSPAN12,0.010451747,344.2,0.26993583,143,1.628395578,234,1.192418095,263,0.89956423,502,0,579
7,thal_proj,pfc_rgc,CALM1,MYLK2,0.010451747,310.6,0.256337638,167,2.303129278,130,1.226074947,247,0.906848682,430,0,579
8,thal_proj,pfc_rgc,GNAI2,CAV1,0.010451747,371.4,0.236771667,192,1.615574326,242,1.117426673,316,0.89721713,528,0,579
9,thal_proj,pfc_rgc,CNTN1,NOTCH2,0.010451747,389.6,0.198151903,248,1.378860044,333,1.291954451,221,0.892419484,567,0,579
10,thal_proj,pfc_rgc,CALM3,MYLK,0.010451747,410.8,0.19437117,261,1.60674427,247,0.979680056,397,0.892086695,570,0,579
11,thal_proj,pfc_rgc,HRAS,INSR,0.010451747,404.2,0.180749154,283,1.264166436,378,1.223549283,248,0.896621849,533,0,579
12,thal_proj,pfc_rgc,AGRN,ITGB1,0.010451747,291.2,0.178350701,289,2.094890122,156,1.775632227,106,0.917994485,326,0,579
13,thal_proj,pfc_rgc,CALM1,MYLK,0.010451747,398.4,0.166828104,305,1.597053786,248,1.04525286,363,0.900123406,497,0,579
14,thal_proj,pfc_rgc,VCAN,ITGB1,0.010451747,276.2,0.160531403,313,1.844314705,186,1.628384334,133,0.935578752,170,0,579
15,thal_proj,pfc_rgc,L1CAM,CD9,0.010451747,408.2,0.158673366,318,1.140601406,434,1.169712488,279,0.90675838,431,0,579
16,thal_proj,pfc_rgc,APP,NOTCH2,0.010451747,431.8,0.137203725,374,1.177576698,418,1.219607447,251,0.896182532,537,0,579
17,thal_proj,pfc_rgc,BSG,SLC16A1,0.010451747,414.4,0.125619565,402,1.496818014,285,1.098671975,323,0.901767721,483,0,579
18,thal_proj,pfc_rgc,LGALS1,ITGB1,0.010451747,260.2,0.119690354,419,2.010903749,162,1.911689938,87,0.949970007,54,0,579
19,thal_proj,pfc_rgc,CALM3,INSR,0.010451747,294.2,0.117190799,429,1.450792184,303,1.666079786,125,0.954901184,35,0,579
20,thal_proj,pfc_rgc,CALM2,MYLK2,0.010451747,415,0.115434452,435,1.845235097,185,0.756336069,554,0.918949667,322,0,579
21,thal_proj,pfc_rgc,CALM1,INSR,0.010451747,301,0.100584458,480,1.4411017,306,1.731652589,115,0.958477603,25,0,579
22,thal_proj,pfc_rgc,APP,LRP6,0.011386036,508,0.106887181,460,1.064812832,474,0.914205534,438,0.890240243,589,0,579
23,thal_proj,pfc_rgc,APP,TNFRSF21,0.012385975,492.4,0.114510874,441,1.105487147,458,0.998505884,385,0.889243211,599,0,579
24,thal_proj,pfc_rgc,PTN,PTPRB,0.01280509,396.4,0.204339121,234,1.975257416,168,0.710591364,603,0.909407447,398,0,579
25,thal_proj,pfc_rgc,ARF1,INSR,0.013235475,512.2,0.076530299,607,0.919953723,583,0.922636354,430,0.913137957,362,0,579
26,thal_proj,pfc_rgc,VEGFA,ITGB1,0.016067299,328.8,0.289103515,127,1.892042364,178,1.646273021,129,0.886489226,631,0,579
27,thal_proj,pfc_rgc,CNTN4,PTPRG,0.017246301,406.8,0.218630346,210,1.45267667,301,1.125871414,304,0.88540667,640,0,579
28,thal_proj,pfc_rgc,CALM1,GRM3,0.01849352,475.2,0.070256521,649,1.033637346,499,1.181352277,270,0.911575248,379,0,579
29,thal_proj,pfc_rgc,CNTN1,NOTCH1,0.021685533,439.6,0.206946719,232,1.348731391,347,1.032678011,370,0.882424944,670,0,579
30,thal_proj,pfc_rgc,COL18A1,ITGA1_ITGB1,0.022577315,360.4,0.35271012,89,2.967622508,78,1.554787303,159,0.865446703,897,0,579
31,thal_proj,pfc_rgc,VEGFB,FLT1_KDR,0.023525109,315.8,0.494982753,58,3.561499143,54,1.322608297,207,0.881040154,681,0,579
32,thal_proj,pfc_rgc,COL6A1,ITGA1_ITGB1,0.024579881,363.4,0.199027763,244,2.298909682,131,1.453066874,176,0.880660996,687,0,579
33,thal_proj,pfc_rgc,COL26A1,ITGA1_ITGB1,0.027816212,420,0.470065891,61,2.610258,100,1.478817893,171,0.842909269,1189,0,579
34,thal_proj,pfc_rgc,MDK,ITGA6_ITGB1,0.031951328,587.6,0.061849183,724,1.399167288,324,0.648226589,657,0.883787781,654,0,579
35,thal_proj,pfc_rgc,PDGFA,PDGFRB,0.035367819,360.2,0.4127775,75,2.209354378,143,1.40563355,186,0.872097014,818,0,579
36,thal_proj,pfc_rgc,CALM2,MYLK,0.035401224,546.6,0.075126349,614,1.139159606,436,0.575513982,739,0.913014247,365,0,579
37,thal_proj,pfc_rgc,COL18A1,KDR,0.036161038,424,0.50596631,55,3.847348114,40,1.227339733,245,0.842157469,1201,0,579
38,thal_proj,pfc_rgc,INHBA,ACTR2,0.040192231,421.8,0.137324257,373,2.659201913,91,1.122270417,308,0.876401206,758,0,579
39,thal_proj,pfc_rgc,JAG2,NOTCH3,0.043475253,479,0.421861298,74,2.194530909,145,1.349650774,200,0.823346633,1397,0,579
40,thal_proj,pfc_rgc,VEGFA,FLT1_KDR,0.0442096,413.2,0.475970414,60,3.415614745,61,1.221193964,250,0.848156053,1116,0,579
41,thal_proj,pfc_rgc,GNAI2,UNC5B,0.044617054,387.4,0.264533507,147,2.495918178,108,1.093292857,329,0.875113391,774,0,579
42,thal_proj,pfc_rgc,DLL3,NOTCH3,0.062183233,444.8,0.284818501,130,1.898835487,176,1.267913416,227,0.848741236,1112,0,579
43,thal_proj,pfc_rgc,HRAS,CAV1,0.064420056,411.4,0.368907316,83,1.690398111,218,1.068118522,344,0.870709557,833,0,579
44,thal_proj,pfc_rgc,MFGE8,PDGFRB,0.064522535,485.2,0.366218798,84,1.936691766,172,1.256368989,230,0.827472186,1361,0,579
45,thal_proj,pfc_rgc,APP,APLP2,0.080980138,554.6,0.049608271,872,1.057946322,479,0.878844235,462,0.911262765,381,0,579
46,thal_proj,pfc_rgc,NCAN,CDH2,0.087692954,638.8,0.096907847,498,0.715768216,793,0.467827619,886,0.905999835,438,0,579
47,thal_proj,pfc_rgc,CALM2,INSR,0.11416434,458.2,0.045295384,934,0.983207519,536,1.261913711,229,0.964136882,13,0,579
48,thal_proj,pfc_rgc,VEGFB,NRP1,0.137713957,521.6,0.258315272,161,1.273055548,375,0.834856465,489,0.856387862,1004,0,579
49,thal_proj,pfc_rgc,ALCAM,NRP1,0.137713957,559.6,0.254518776,170,1.16662376,428,0.828436117,491,0.847438388,1130,0,579
50,thal_proj,pfc_rgc,VEGFA,NRP1,0.137713957,645.2,0.248393356,174,1.127171151,443,0.733442133,578,0.818096105,1452,0,579
51,thal_proj,pfc_rgc,COL6A1,ITGA6,0.137713957,542,0.223897317,203,1.618211467,240,0.899804906,446,0.839204995,1242,0,579
52,thal_proj,pfc_rgc,KITLG,KIT,0.137713957,542.8,0.208305032,228,1.720787112,208,0.840973782,484,0.841335987,1215,0,579
53,thal_proj,pfc_rgc,PIGF,FLT1,0.137713957,526.8,0.185745344,278,3.284817872,68,1.053439615,357,0.828961833,1352,0,579
54,thal_proj,pfc_rgc,HBEGF,CD9,0.137713957,582.6,0.176708639,292,1.068895181,471,1.068919221,343,0.840412925,1228,0,579
55,thal_proj,pfc_rgc,GNAI2,F2R,0.137713957,675.6,0.156557083,324,0.933452094,577,0.750069607,564,0.830895746,1334,0,579
56,thal_proj,pfc_rgc,SORBS1,ITGA1,0.137713957,616.2,0.100047901,482,2.518721165,106,0.928032724,425,0.813527127,1489,0,579
57,thal_proj,pfc_rgc,B2M,TFRC,0.137713957,536.8,0.031653706,1189,1.980869956,167,1.14865889,291,0.904215039,458,0,579
58,thal_proj,pfc_rgc,RGMA,BMPR2,0.137928737,701.2,0.102026982,475,0.743514769,758,0.58772436,724,0.859363152,970,0,579
59,thal_proj,pfc_rgc,RGMB,BMPR2,0.14444734,733.8,0.082878936,570,0.737622495,767,0.55432333,774,0.858487235,979,0,579
60,thal_proj,pfc_rgc,RIMS2,ABCA1,0.144874056,659.2,0.198624121,245,1.06733385,472,0.726164498,587,0.821950436,1413,0,579
61,thal_proj,pfc_rgc,LIN7C,ABCA1,0.155857609,690.8,0.121502613,412,0.827714328,673,0.531191802,796,0.857319228,994,0,579
62,thal_proj,pfc_rgc,RBP4,STRA6,0.158505549,670.4,0.719680891,28,2.374548375,119,0.620073076,695,0.721128067,1931,0,579
63,thal_proj,pfc_rgc,HMGB1,THBD,0.160946353,593.6,0.13873126,369,1.843306737,187,0.250243599,1229,0.88875553,604,0,579
64,thal_proj,pfc_rgc,JAG2,NOTCH2,0.168923195,799.6,0.193893193,262,0.886318905,612,0.701175373,609,0.718501117,1936,0,579
65,thal_proj,pfc_rgc,CNTN2,NRP1,0.174046032,690.6,0.2176909,213,1.055655817,482,0.693993124,617,0.803053548,1562,0,579
66,thal_proj,pfc_rgc,GNAI2,S1PR1,0.1750834,619,0.215583393,218,1.047995076,488,0.693837265,618,0.842747961,1192,0,579
67,thal_proj,pfc_rgc,OMG,TNFRSF1B,0.252913467,715,0.329977735,100,2.133137247,153,0.54354882,783,0.69969489,1960,0,579
68,thal_proj,pfc_rgc,APP,RPSA,0.257504339,632.2,0.03540954,1099,0.876957793,623,0.54455772,781,0.945926083,79,0,579
69,thal_proj,pfc_rgc,JAG2,NOTCH4,0.262962128,758.6,0.317817375,109,1.1278668,442,0.625429324,691,0.68761829,1972,0,579
70,thal_proj,pfc_rgc,EDIL3,ITGAV,0.288529049,759.8,0.141498685,358,1.007642363,516,0.608283236,709,0.791905655,1637,0,579
71,thal_proj,pfc_rgc,GNAI2,S1PR3,0.341327287,697.6,0.242868333,181,1.120877212,449,0.573755243,743,0.806530753,1536,0,579
72,thal_proj,pfc_rgc,FAM3C,LAMP1,0.342971707,773.4,0.119603279,420,0.754969863,739,0.572636166,744,0.825447117,1385,0,579
73,thal_proj,pfc_rgc,ARPC5,LDLR,0.388148853,877.8,0.052253098,837,0.549985279,1034,0.27427247,1193,0.877073668,746,0,579
74,thal_proj,pfc_rgc,DLL3,NOTCH4,0.409464632,833.6,0.214573532,219,0.832171378,668,0.543691966,782,0.726031937,1920,0,579
75,thal_proj,pfc_rgc,YBX1,NOTCH1,0.421793704,772.8,0.074686529,617,0.663234266,857,0.259245425,1213,0.889275421,598,0,579
76,thal_proj,pfc_rgc,GRN,TNFRSF1B,0.426378961,743.2,0.201378183,242,2.059426171,158,0.536464953,791,0.714455895,1946,0,579
77,thal_proj,pfc_rgc,ANXA2,ROBO4,0.443749616,720.4,0.2328488,194,1.627962376,235,0.528331666,800,0.764080708,1794,0,579
78,thal_proj,pfc_rgc,GDF11,BMPR2,0.450355533,791.6,0.088283369,534,0.693776434,815,0.526821506,801,0.840389387,1229,0,579
79,thal_proj,pfc_rgc,PTN,SDC3,0.486260526,839.2,0.029133631,1248,0.62633863,909,0.448409739,917,0.89504958,543,0,579
80,thal_proj,pfc_rgc,HBEGF,CD82,0.530972827,792.8,0.243837268,180,1.054491897,483,0.502355797,842,0.742190925,1880,0,579
81,thal_proj,pfc_rgc,SORBS1,INSR,0.539067599,905.4,0.03516913,1103,0.634969742,898,0.635381239,673,0.836317917,1274,0,579
82,thal_proj,pfc_rgc,PTN,NCL,0.54544451,749.4,0.02728731,1277,0.619338356,919,0.460736305,900,0.947025661,72,0,579
