,source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
1,thal_proj,pfc_subplate,NCAM1,NCAM2,0.010451747,333,0.162828525,312,1.64936675,230,1.457119664,174,0.912596739,370,0,579
2,thal_proj,pfc_subplate,CALM3,PDE1A,0.010451747,377.6,0.152947847,336,1.193682328,406,1.212953463,256,0.919911694,311,0,579
3,thal_proj,pfc_subplate,CALM1,PDE1A,0.010451747,371,0.131274609,388,1.183991844,412,1.278526267,225,0.926047956,251,0,579
4,thal_proj,pfc_subplate,CNTN1,NRCAM,0.010451747,422.4,0.117114119,430,1.338765342,350,1.091872204,330,0.907207942,423,0,579
5,thal_proj,pfc_subplate,APP,ADRA2A,0.010451747,448.6,0.11675217,432,1.062851274,476,1.074672348,338,0.907621696,418,0,579
6,thal_proj,pfc_subplate,GNAS,ADCY1,0.018351481,407.8,0.070345862,648,1.195095973,404,1.189339331,265,0.93795498,143,0,579
7,thal_proj,pfc_subplate,APP,APLP2,0.020888359,445,0.067659572,665,1.185027174,410,1.134446716,301,0.923035068,270,0,579
8,thal_proj,pfc_subplate,NLGN2,NRXN1,0.022590345,576.6,0.09362972,513.5,0.825138954,675.5,0.711059694,601.5,0.898624516,513.5,0,579
9,thal_proj,pfc_subplate,ALCAM,CHL1,0.022842279,549.6,0.128568131,393,0.82487877,677,0.830680083,490,0.887898226,609,0,579
10,thal_proj,pfc_subplate,GNAI2,ADCY1,0.023698342,630,0.065748933,682,0.818098362,681,0.672131375,634,0.891887916,574,0,579
11,thal_proj,pfc_subplate,CALM3,GRM5,0.026802911,543.4,0.064156867,699,0.996485462,525,0.930797582,423,0.900871748,491,0,579
12,thal_proj,pfc_subplate,NCAM1,PTPRA,0.026995184,515,0.064133462,700,1.169514016,424,1.067400016,345,0.89727405,527,0,579
13,thal_proj,pfc_subplate,NCAM1,ROBO1,0.031294817,475.4,0.062000413,721,1.076783257,470,1.046733023,361,0.926348125,246,0,579
14,thal_proj,pfc_subplate,CALM2,PDE1A,0.045488455,557,0.059115831,754,0.726097663,777,0.808787389,508,0.935831309,167,0,579
15,thal_proj,pfc_subplate,L1CAM,CNTN1,0.052303408,695.4,0.055514225,799,0.745496374,754,0.676244863,630,0.878859658,715,0,579
16,thal_proj,pfc_subplate,CALM1,GRM5,0.054296957,543.2,0.055065618,805,0.986794977,531,0.996370386,388,0.90832144,413,0,579
