Accession,PC1
Q9Y3T9,0.017430131427687755
Q96GQ7,0.017409471628818358
Q8IXI1,0.017343442793710872
Q8IY81,0.017338246701625915
P20933,0.01729204156633174
Q8WTT2,0.017204373948183114
Q86WR0,0.017122409098044324
Q9H6F5,0.017114067089956525
Q8WXE0,0.017110807989728253
Q5JTZ9,0.017107968476867838
Q8NFH4,0.017069121285188095
O75694,0.017059645712206688
Q68EM7,0.017045660961889284
Q9NXC5,0.01702402278527467
Q9NXE4,0.01700259411435131
O60499,0.017001289045869505
Q9NRG9,0.01697966856039531
Q92621,0.016963680897978152
Q9UJZ1,0.01696027247566838
Q99717,0.01695439404795775
Q13439,0.01694678728955753
Q99807,0.016945006723760692
Q15643,0.016937252693970513
Q9H3U1,0.016930430211217158
Q9NVM9,0.016926013261867757
O95602,0.016918951832970354
P54819,0.016918121037602624
Q6W2J9,0.016914597434008555
Q13547,0.016901962396181087
Q13625,0.016892423863832294
Q16539,0.01687275772335694
Q6ZSR9,0.016856792252262772
Q5HYI7,0.01685459968205523
Q8TDD1,0.01683661539369505
Q15642,0.016835854914957055
Q96C23,0.01683212994534935
P16219,0.016826557190788054
Q12769,0.016806660273069134
Q15050,0.016792872913434932
Q5T1M5,0.016789726049012813
Q96CU9,0.01677780618681772
Q8IV63,0.016776751021783855
Q8IZ07,0.016769967003288505
P49585,0.016760587849018866
Q96SY0,0.016756450309283466
Q14696,0.016755339194792947
Q9ULG1,0.016745162316700354
Q53EL6,0.016735732105954877
Q03701,0.016734235106412983
Q8TER5,0.016732857917676407
P12270,0.016730210691734755
P57740,0.01672934722006429
O00746,0.01672290827831301
Q03252,0.0167163353612963
Q15019,0.016710907458401644
Q8NFH5,0.016706577112452044
P52948,0.016706400342122524
O60701,0.016702152282876952
Q5SRE5,0.016692850078305562
Q7Z7H5,0.01669014424149732
Q96GK7,0.01667384285172689
P30405,0.016662009060938607
Q92947,0.016661266426926547
O75208,0.016655598391187593
O00299,0.016654488907671516
O43488,0.01665365189564914
Q8WUM0,0.01664426985091115
Q16513,0.01664243184119822
Q9UHA3,0.01663640098863082
P34913,0.016625921202210105
Q14653,0.016610549785945103
P46439,0.01660939920573491
P11310,0.016606010920571616
Q8TDN6,0.016595655944851604
Q6RFH5,0.01659118234431433
Q9BVL4,0.01657919386446663
Q7Z4H8,0.016566635325794492
Q8TEW0,0.016561139169461645
Q9UL03,0.016553308610504556
O95881,0.01654587230667885
Q96T51,0.016541334159308637
Q99417,0.01653240110515087
Q92878,0.016517058398672714
Q9Y3B2,0.01651142411218366
P46940,0.016506307171161888
Q8N8A6,0.01647623512720015
Q8TD16,0.01647556804471227
Q6P9B9,0.016474101078183423
Q92888,0.01646492889919791
P49247,0.01646158288512898
Q16762,0.016456004250282447
P41214,0.016454884510483443
Q92616,0.016450899447287365
P08236,0.016441926468921293
P16455,0.016413874436117356
Q8IWJ2,0.016411432426065048
Q99848,0.016406294847452447
Q92538,0.016394227394872726
O75477,0.016389444957222884
Q8NBL1,0.01638643703199351
Q96D53,0.016380748245236335
Q27J81,0.01637726238142685
O60664,0.016364961590467752
Q9Y315,0.01635960801290981
Q96JI7,0.01635437938300131
Q9H147,0.016352027557751125
Q8TDH9,0.016347419869906978
O60934,0.01633701513505993
Q14185,0.016336781761501915
Q96RQ3,0.01633236435469171
Q8TCS8,0.016320433885109252
P56182,0.016311171887615446
P61916,0.016310830631671887
Q9NQT8,0.016294242136216504
Q9UNQ2,0.01628339767650639
O94992,0.016282562464606267
Q8TD19,0.016281438373721178
P19838,0.016279061535296086
Q9UL46,0.016272311782314742
Q06323,0.016261618088078873
O15504,0.016249614159998652
Q9BSJ5,0.016247917281278564
Q9BZE4,0.01624523634149072
P50851,0.016244719160646633
Q99714,0.01624328597328731
Q9UBQ5,0.016240496222005543
O94915,0.016239046606237834
Q14690,0.01623731306807275
Q9NYL2,0.01623621397930165
Q9Y6W5,0.016235404113573527
P60228,0.016226583107343845
P49959,0.016226173754194342
Q9UPP1,0.01621897114929631
Q92575,0.016215522960360947
Q16836,0.016211392614565903
Q9Y3L3,0.016209449110221163
Q9Y3A6,0.01619139979216678
P63220,0.016179344558935462
Q8N0X7,0.01617887161321558
Q8IZ83,0.016167214687968386
P26599,0.016164312874872962
Q9UDR5,0.01616424173334062
Q96HC4,0.016162457666420358
O95479,0.01616038925419522
Q8NE71,0.016156645775417363
Q14315,0.016146789510297473
Q8N4C6,0.016140088178923016
Q13347,0.016138958161889046
O95758,0.016137105529147298
Q9NU22,0.016132420160381567
Q9H8H2,0.0161309543023414
Q99567,0.0161305905630094
Q8IUZ5,0.016130124250236192
P61244,0.01612346817795491
Q13206,0.016117123575239048
P07902,0.01610511721290395
Q96JJ7,0.01609988494848926
Q9H0H0,0.016097972297259046
Q14746,0.016093008391373703
Q9Y3A5,0.01609242206086904
Q13137,0.016089362600484606
Q9BRU9,0.01608900559802455
Q96RT1,0.016088790445896166
P55735,0.016085417259310477
Q76N32,0.01608513445356839
Q96HW7,0.016084941079029066
Q5TZA2,0.016081077600669163
Q13596,0.016075494487663766
Q5BJF6,0.016064463524586278
Q02127,0.01605047266646963
P09960,0.01604820918227694
Q92734,0.016046031414259067
Q8IY31,0.016042937838321735
Q9BXY0,0.016042770334125694
P51153,0.016042666784729157
Q9UKM9,0.01603169503861265
Q9UJV9,0.016030871237884436
O00443,0.016030523149676644
Q8N5C6,0.016023943655710884
P49419,0.016023494443017268
P13807,0.016011075738431947
Q9UBV8,0.016004807737704154
O14745,0.0159933244840902
P50750,0.015993312558552658
P13667,0.015981275178735974
P51689,0.015977854498729828
Q8NC56,0.015976263934943585
Q7Z449,0.01597412997498952
Q9NQZ2,0.0159666501226183
Q9H7H0,0.015965236909849686
Q9BW27,0.01595682584233833
Q8N108,0.015952024074155892
Q9Y5X3,0.015935353388766622
Q8N129,0.01592654172911759
Q5R3I4,0.015918645313383446
O76031,0.01591211375677978
Q9NVH6,0.015911389952695514
P51692,0.015910038454568592
Q9NX24,0.01590619621190214
Q9Y696,0.015905223700114383
Q12797,0.015903595573244562
O75600,0.015902724764312547
P05386,0.01590101563118443
Q9Y262,0.015896990855449177
Q75QN2,0.015892882360036935
Q5F1R6,0.015892522433872444
P39019,0.01588230929330602
Q8NFQ8,0.01588035144581133
Q6NW34,0.015868418110755442
Q14258,0.015864416607542006
Q5T160,0.01586032044580632
Q6PI48,0.01585816606009539
P30050,0.015857119344678105
Q8N1F7,0.015853778546739947
O95716,0.01584250074230591
P62861,0.01584181074095367
Q8IXM6,0.01583706886961269
Q08257,0.015833298788725487
P60866,0.015832890074966407
Q5JTH9,0.015832370191082756
P42785,0.015826723471615588
P46063,0.015820626879386224
P22087,0.015816262987792727
P14314,0.015816031414331928
Q969S3,0.015815994551579192
Q9NQ55,0.01581483765777563
Q96GX9,0.01581291789184312
Q96H79,0.015807921875227542
Q7Z3B4,0.01578941495682191
Q8IXM2,0.01578699232221568
O00461,0.015786782143601488
Q9NUQ7,0.015785780361326447
P22570,0.015779524770696603
P05387,0.015775724569300483
Q9UK61,0.015768306089412307
O95613,0.015766890978092307
P55884,0.015765430291573478
P49792,0.01575554929219018
P08708,0.015751919712912683
P08865,0.015750151763305912
Q9BVL2,0.015749963987826587
Q6UW02,0.015736165172936946
Q9NVZ3,0.015724155347290998
Q12788,0.01571673665220728
