Gene_symbol,log2FC_RNA,log2FC_Protein,RNA_diff,Protein_diff,RNA_protein_diff,diff_colour,Final_colour
A1BG,1.5133888256773462,0.1300605405643731,Up,No,1.3833282851129731,Big,blue
A2M,-1.5159776706668304,-1.2889441316533699,Down,Down,-0.22703353901346057,Small,yellow
AAAS,0.596589827916715,-0.5281578527220638,No,No,1.1247476806387788,Big,grey
AACS,0.255059485526689,-0.052037265431694735,No,No,0.30709675095838374,Small,grey
AADAT,0.5611244863582701,-0.17424754566992284,No,No,0.7353720320281929,Small,grey
AAGAB,-0.6552375974954159,0.8120217826040532,No,No,-1.467259380099469,Big,grey
AAK1,-1.6147119324584327,0.3337264188807598,Down,No,-1.9484383513391925,Big,blue
AAMDC,NA,-1.4539707366370873,NA,Down,NA,NA,NA
AAMP,0.3870711290254132,0.04209726728372232,No,No,0.34497386174169087,Small,grey
AAR2,NA,-0.21282040234315502,NA,No,NA,NA,NA
AARS,0.43671315867375515,-0.04300620560663759,No,No,0.47971936428039275,Small,grey
AARS2,0.6007659956452855,-0.5520335678561565,No,No,1.152799563501442,Big,grey
AARSD1,0.09436465174177533,0.6324027054389898,No,No,-0.5380380536972145,Small,grey
AASDHPPT,0.06990550524206807,0.8014791505757692,No,No,-0.7315736453337012,Small,grey
AASS,-1.6748430373316165,-1.9424155211168426,Down,Down,0.267572483785226,Small,yellow
AATF,0.5310897631943878,-0.6022958494824264,No,No,1.1333856126768143,Big,grey
ABAT,-0.655274099741403,-2.1132663374229814,No,Down,1.4579922376815784,Big,ltblue
ABCA3,-0.5493998086818115,1.0244147262506553,No,Up,-1.5738145349324668,Big,ltblue
ABCA8,-3.577126197456824,-0.14438990933517504,Down,No,-3.432736288121649,Big,blue
ABCB1,-1.3149099020773944,-0.331242771163903,Down,No,-0.9836671309134914,Small,blue
ABCB10,0.20534131044907977,-1,No,No,1.2053413104490798,Big,grey
ABCB6,0.21314658331327152,0.027518178386238823,No,No,0.1856284049270327,Small,grey
ABCB7,1.110102404313512,-0.39133924493752836,Up,No,1.5014416492510403,Big,blue
ABCB8,0.5033453099180687,0.13112750265228001,No,No,0.3722178072657887,Small,grey
ABCC1,1.1375372316633316,-0.1962234883116456,Up,No,1.3337607199749772,Big,blue
ABCC4,-1.7526356149768756,1.4020984435713455,Down,Up,-3.154734058548221,Big,red
ABCC9,-1.796266991145725,-0.10383581098453964,Down,No,-1.6924311801611853,Big,blue
ABCD1,-0.2279772274585148,0.05018575716821694,No,No,-0.2781629846267317,Small,grey
ABCD2,-0.06254232800095144,-0.15041684255309828,No,No,0.08787451455214684,Small,grey
ABCD3,0.21073212818963505,-0.02341109526592433,No,No,0.23414322345555938,Small,grey
ABCE1,-0.10396279579781398,-0.10989194600675845,No,No,0.005929150208944467,Small,grey
ABCF1,0.24401845933047683,-0.37856169451969457,No,No,0.6225801538501714,Small,grey
ABCF2,0.4821055406587824,0.12394642040059267,No,No,0.35815912025818974,Small,grey
ABCF3,-0.004629136428901948,0.0770462253050006,No,No,-0.08167536173390255,Small,grey
ABCG2,-1.2429074005691754,-0.4179047311750086,Down,No,-0.8250026693941668,Small,blue
ABHD10,0.2791530973978684,-0.41791284527582206,No,No,0.6970659426736905,Small,grey
ABHD11,-0.4862940591285858,-0.7391457155344403,No,No,0.2528516564058545,Small,grey
ABHD12,-0.7840658637432751,-0.3045775883189208,No,No,-0.47948827542435435,Small,grey
ABHD14B,-0.14564874731757743,-0.6083392839197899,No,No,0.46269053660221243,Small,grey
ABHD16A,0.6386204784077516,0.2752655553456691,No,No,0.3633549230620825,Small,grey
ABHD17C,NA,1.08842325072166,NA,Up,NA,NA,NA
ABHD6,-0.7259847850910757,0.5354421793552397,No,No,-1.2614269644463154,Big,grey
ABI1,-0.4290537758846833,0.3032307292338512,No,No,-0.7322845051185345,Small,grey
ABI2,0.6001954009478467,0.7350511361553576,No,No,-0.13485573520751082,Small,grey
ABI3BP,2.420328346053316,-0.4086055000343114,Up,No,2.828933846087627,Big,blue
ABL1,1.318281594886047,0.3593755726161145,Up,No,0.9589060222699324,Small,blue
ABL2,0.39825832726223886,0.6307661903342812,No,No,-0.2325078630720423,Small,grey
ABLIM1,-0.6825987830935487,1.8620807805828061,No,Up,-2.544679563676355,Big,ltblue
ABLIM2,-1.3185909027926765,-0.45653686219899203,Down,No,-0.8620540405936845,Small,blue
ABLIM3,-1.2341979268003613,-0.91995066208497,Down,No,-0.31424726471539133,Small,blue
ABR,0.3577855545609818,1.1265074548225886,No,Up,-0.7687219002616068,Small,ltblue
ABRAXAS1,NA,0.03624352059982883,NA,No,NA,NA,NA
ABRAXAS2,NA,0.2510659728217597,NA,No,NA,NA,NA
ABT1,1.0851510459930176,-1.0342495619529108,Up,Down,2.1194006079459284,Big,red
ABTB2,0.31523540093108027,-1.1887092950801588,No,Down,1.503944696011239,Big,ltblue
AC012314.10,NA,-0.5890611223468287,NA,No,NA,NA,NA
AC012314.12,NA,-0.5890611223468287,NA,No,NA,NA,NA
AC012314.20,-Inf,-0.5890611223468287,Down,No,-Inf,Big,blue
AC012314.23,NA,-0.5890611223468287,NA,No,NA,NA,NA
